"Constant Velocity Position Generator 
(Bodies Pass Through Collisions Without Interacting)",,,,,,,,,,,,,,,,,,,,,
INPUT DATA IN THE GREY AREA,,,,,,,,,WATCH THE RESULTS IN THE ORANGE AREA ... GREEN CELL MEANS GOOD RESULT,,,,,,,,,,,,
Velocity Frames,Particle 1,,,,Particle 2,,,,Collider Estimator,,,,,,,,,,,,
40,70,110,150,,190,290,450,,-120,-180,-300,,14400,32400,90000,,136800,369,,,
41,71,112,153,,195,298,463,,-124,-186,-310,,15376,34596,96100,,146072,382,,,
42,72,114,156,,200,306,476,,-128,-192,-320,,16384,36864,102400,,155648,394,,,
43,73,116,159,,205,314,489,,-132,-198,-330,,17424,39204,108900,,165528,406,,,
44,74,118,162,,210,322,502,,-136,-204,-340,,18496,41616,115600,,175712,419,,,
45,75,120,165,,215,330,515,,-140,-210,-350,,19600,44100,122500,,186200,431,,,
46,76,122,168,,220,338,528,,-144,-216,-360,,20736,46656,129600,,196992,443,,,
47,77,124,171,,225,346,541,,-148,-222,-370,,21904,49284,136900,,208088,456,,,
48,78,126,174,,230,354,554,,-152,-228,-380,,23104,51984,144400,,219488,468,,,
49,79,128,177,,235,362,567,,-156,-234,-390,,24336,54756,152100,,231192,480,,,
50,80,130,180,,240,370,580,,-160,-240,-400,,25600,57600,160000,,243200,493,,,
51,81,132,183,,245,378,593,,-164,-246,-410,,26896,60516,168100,,255512,505,,,
52,82,134,186,,250,386,606,,-168,-252,-420,,28224,63504,176400,,268128,517,,,
53,83,136,189,,255,394,619,,-172,-258,-430,,29584,66564,184900,,281048,530,,,
54,84,138,192,,260,402,632,,-176,-264,-440,,30976,69696,193600,,294272,542,,,
55,85,140,195,,265,410,645,,-180,-270,-450,,32400,72900,202500,,307800,554,,,
56,86,142,198,,270,418,658,,-184,-276,-460,,33856,76176,211600,,321632,567,,,
57,87,144,201,,275,426,671,,-188,-282,-470,,35344,79524,220900,,335768,579,,,
58,88,146,204,,280,434,684,,-192,-288,-480,,36864,82944,230400,,350208,591,,,
59,89,148,207,,285,442,697,,-196,-294,-490,,38416,86436,240100,,364952,604,,,
60,90,150,210,,290,450,710,,-200,-300,-500,,40000,90000,250000,,380000,616,,,
61,91,152,213,,295,458,723,,-204,-306,-510,,41616,93636,260100,,395352,628,,,
62,92,154,216,,300,466,736,,-208,-312,-520,,43264,97344,270400,,411008,641,,,
63,93,156,219,,305,474,749,,-212,-318,-530,,44944,101124,280900,,426968,653,,,
64,94,158,222,,310,482,762,,-216,-324,-540,,46656,104976,291600,,443232,665,,,
65,95,160,225,,315,490,775,,-220,-330,-550,,48400,108900,302500,,459800,678,,,
66,96,162,228,,320,498,788,,-224,-336,-560,,50176,112896,313600,,476672,690,,,
67,97,164,231,,325,506,801,,-228,-342,-570,,51984,116964,324900,,493848,702,,,
68,98,166,234,,330,514,814,,-232,-348,-580,,53824,121104,336400,,511328,715,,,
69,99,168,237,,335,522,827,,-236,-354,-590,,55696,125316,348100,,529112,727,,,
70,100,170,240,,340,530,840,,-240,-360,-600,,57600,129600,360000,,547200,739,,,
71,101,172,243,,345,538,853,,-244,-366,-610,,59536,133956,372100,,565592,752,,,
72,102,174,246,,350,546,866,,-248,-372,-620,,61504,138384,384400,,584288,764,,,
73,103,176,249,,355,554,879,,-252,-378,-630,,63504,142884,396900,,603288,776,,,
74,104,178,252,,360,562,892,,-256,-384,-640,,65536,147456,409600,,622592,789,,,
75,105,180,255,,365,570,905,,-260,-390,-650,,67600,152100,422500,,642200,801,,,
76,106,182,258,,370,578,918,,-264,-396,-660,,69696,156816,435600,,662112,813,,,
77,107,184,261,,375,586,931,,-268,-402,-670,,71824,161604,448900,,682328,826,,,
78,108,186,264,,380,594,944,,-272,-408,-680,,73984,166464,462400,,702848,838,,,
79,109,188,267,,385,602,957,,-276,-414,-690,,76176,171396,476100,,723672,850,,,
80,110,190,270,,390,610,970,,-280,-420,-700,,78400,176400,490000,,744800,863,,,
81,111,192,273,,395,618,983,,-284,-426,-710,,80656,181476,504100,,766232,875,,,
82,112,194,276,,400,626,996,,-288,-432,-720,,82944,186624,518400,,787968,887,,,
83,113,196,279,,405,634,1009,,-292,-438,-730,,85264,191844,532900,,810008,900,,,
84,114,198,282,,410,642,1022,,-296,-444,-740,,87616,197136,547600,,832352,912,,,
85,115,200,285,,415,650,1035,,-300,-450,-750,,90000,202500,562500,,855000,924,,,
86,116,202,288,,420,658,1048,,-304,-456,-760,,92416,207936,577600,,877952,936,,,
87,117,204,291,,425,666,1061,,-308,-462,-770,,94864,213444,592900,,901208,949,,,
88,118,206,294,,430,674,1074,,-312,-468,-780,,97344,219024,608400,,924768,961,,,
89,119,208,297,,435,682,1087,,-316,-474,-790,,99856,224676,624100,,948632,973,,,
90,120,210,300,,440,690,1100,,-320,-480,-800,,102400,230400,640000,,972800,986,,,
91,121,212,303,,445,698,1113,,-324,-486,-810,,104976,236196,656100,,997272,998,,,
92,122,214,306,,450,706,1126,,-328,-492,-820,,107584,242064,672400,,1022048,1010,,,
93,123,216,309,,455,714,1139,,-332,-498,-830,,110224,248004,688900,,1047128,1023,,,
94,124,218,312,,460,722,1152,,-336,-504,-840,,112896,254016,705600,,1072512,1035,,,
95,125,220,315,,465,730,1165,,-340,-510,-850,,115600,260100,722500,,1098200,1047,,,
96,126,222,318,,470,738,1178,,-344,-516,-860,,118336,266256,739600,,1124192,1060,,,
97,127,224,321,,475,746,1191,,-348,-522,-870,,121104,272484,756900,,1150488,1072,,,
98,128,226,324,,480,754,1204,,-352,-528,-880,,123904,278784,774400,,1177088,1084,,,
99,129,228,327,,485,762,1217,,-356,-534,-890,,126736,285156,792100,,1203992,1097,,,
100,130,230,330,,490,770,1230,,-360,-540,-900,,129600,291600,810000,,1231200,1109,,,
